family,distribution,vm,run,started_at_utc,elapsed_s,samples,process_cpu_mean_percent,process_cpu_peak_percent,system_cpu_mean_percent,system_cpu_peak_percent,process_rss_mean_mb,process_rss_peak_mb,system_memory_used_mean_mb,system_memory_used_peak_mb,threads_mean,threads_peak
debian,debian,debian,1,2026-09-14T00:28:47+00:00,10.011,10,326.02,351.8,81.4,87.8,313.43,350.02,745.528,782.66,17.2,19.0
debian,debian,debian,2,2026-09-14T00:29:00+00:00,10.011,10,322.73,352.8,80.64,88.2,313.724,349.164,743.365,780.629,17.2,19.0
debian,debian,debian,3,2026-09-14T00:29:13+00:00,10.011,10,323.86,351.5,80.83,87.6,311.581,346.359,735.17,769.566,17.2,19.0
debian,debian,debian,4,2026-09-14T00:29:26+00:00,10.013,10,322.26,355.8,80.53,88.7,312.866,350.094,728.188,764.246,17.2,19.0
debian,debian,debian,5,2026-09-14T00:29:39+00:00,10.014,10,322.74,351.5,80.56,87.8,311.208,347.242,737.464,772.605,17.2,19.0
debian,debian,debian,6,2026-09-14T00:29:52+00:00,10.017,10,323.11,354.9,80.72,88.6,313.175,348.406,751.586,793.543,17.2,19.0
debian,debian,debian,7,2026-09-14T00:30:05+00:00,10.013,10,322.51,352.8,80.45,88.0,311.753,349.066,740.496,773.762,17.2,19.0
debian,debian,debian,8,2026-09-14T00:30:18+00:00,10.009,10,325.61,352.8,81.35,88.3,312.505,349.273,742.814,775.383,17.2,19.0
debian,debian,debian,9,2026-09-14T00:30:31+00:00,10.007,10,325.78,349.8,81.34,87.2,312.307,348.168,733.016,768.25,17.2,19.0
debian,debian,debian,10,2026-09-14T00:30:44+00:00,10.011,10,325.13,355.4,81.29,88.5,314.852,349.977,736.862,773.352,17.2,19.0
debian,ubuntu,ubuntu,1,2026-09-14T00:39:58+00:00,10.008,10,321.34,356.3,80.44,89.4,283.13,314.988,839.319,868.398,17.0,19.0
debian,ubuntu,ubuntu,2,2026-09-14T00:40:11+00:00,10.008,10,323.35,355.9,80.88,89.1,283.532,315.371,826.735,856.32,17.2,19.0
debian,ubuntu,ubuntu,3,2026-09-14T00:40:24+00:00,10.013,10,326.09,354.9,81.62,88.7,282.972,315.086,837.658,874.395,17.2,19.0
